"Drawing number","Product name","Client name","区分","材質","加工方法","外注先","板厚","発注№","Note","Drawing","見積書","注文書","ミルシート","作業指示書","検査成績書","不具合管理表","作業見本","製品見本","Registration date","URL"
"3P340097","取付板","ダイキン工業株式会社","通常","SGHC-ZN22,SGHC-F08,SGHC-F08","","","1.60,1.60,1.60","","","1","","","","","","","","","2025-05-16","https://zume-n.com/drawings/7361667"
"3P534729G","側板(鈑金)","ダイキン工業株式会社","通常","SGCC-ZN22,SGCC-ZN22,SGCC-ZN22,SGCC-ZN22,SGCC-F08,SGCC-F08,SGCC-F08,SGCC-F08","","","1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00","","","2","","","","","","","","","2025-05-16","https://zume-n.com/drawings/7361668"
"4P458204B","配管固定具","ダイキン工業株式会社","通常","SGCC-ZN22,SGCC-F08","","","1.20,1.20","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495906"
"4P467835B","ポンプ取付板(1)","ダイキン工業株式会社","通常","SGHC-ZN22,SGHC-F08","","","3.20,3.20","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495915"
"4P478659","機器取付板 (通信オプション)","ダイキン工業株式会社","通常","SGCC-ZN22,SGCC-F08","","","1.20,1.20","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495929"
"4P476531","サーミスタ取付板","ダイキン工業株式会社","通常","SGCC-ZN21,SGCC-F08","","","1.20,1.20","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495923"
"4P478374","水配管接続金具","ダイキン工業株式会社","通常","SGHC-ZN12,SGHC-F08","","","2.30,2.30","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495925"
"4P486206C","支持板","ダイキン工業株式会社","通常","SGHC-F08,SGHC-F08,SGHC-F08,SGHC-F08,SGHC-F08,SGHC-F08","","","1.60,1.60,1.60,1.60,1.60,1.60","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495936"
"2P323994B","裏板(鈑金)","ダイキン工業株式会社","通常","SGCC-F08,SGCC-F08,SGCC-F08","","","0.80,0.80,0.80","","","1","","","","","","","","","2025-05-16","https://zume-n.com/drawings/7361653"
"4PA47594A","吊り金具","ダイキン工業株式会社","通常","SPHC","","","2.3","","","1","","","","","","","","","2025-06-04","https://zume-n.com/drawings/8182194"
"$4P206529","補強板 (凝縮器ファン)","ダイキン工業株式会社","試作","SGCC-ZN22","","","1","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7817400"
"$4BS02787E","冷媒分配板(1)","ダイキン工業株式会社","試作","SUS304,SPHC,SPHC,SPHC,SPHC","","","1.50,1.60,1.60,1.60,1.60,1.60","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7817339"
"$3P244388C","底板(鈑金)","ダイキン工業株式会社","試作","9C2N22","","","3.2","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7817171"
"$3P244388C","底板(鈑金)","ダイキン工業株式会社","試作","SGCC-Z,2 小口","","","1.2","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7817174"
"$3P163663","側板(1)","ダイキン工業株式会社","試作","SGCC-F08 t0.8","","","0.8","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7817176"
"$3P163663B","側板(鈑金)","ダイキン工業株式会社","試作","SGCC-F08,SGCC-F08","","","1","","","1","","","","","","","","","2025-05-28","https://zume-n.com/drawings/7817178"
