"Drawing number","Product name","Client name","区分","材質","加工方法","外注先","板厚","発注№","Note","Drawing","見積書","注文書","ミルシート","作業指示書","検査成績書","不具合管理表","作業見本","製品見本","Registration date","URL"
"4P127084A","蓋（側板右）","ダイキン工業株式会社","通常","SPCC","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495851"
"4P123119","LID FOR WATER TANK","ダイキン工業株式会社","通常","SPCC","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495846"
"4P115276D","MOUNTING PLATE","ダイキン工業株式会社","通常","SGHC-Z22,t=1.6","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495843"
"4P104419A","スイッチ固定具","ダイキン工業株式会社","通常","SPCC","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495836"
"4P103685B","MOUNTING PLATE","ダイキン工業株式会社","通常","SGHC-F08 t3.2","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495833"
"4P098926B","PIPING FIXTURE","ダイキン工業株式会社","通常","SGHC-Z22 t1.6,SGHC-F08 t1.6","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495828"
"4P098429C","止メ金具","ダイキン工業株式会社","通常","SGCC-ZN22,SGCC-F08","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495825"
"4P088715C","PARTITION PLATE (SHEET METAL)","ダイキン工業株式会社","通常","SGCC-ZN22,SGCC-F08","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495823"
"4P066772B","EL, COMPO, BOX COVER(2)","ダイキン工業株式会社","通常","SGCC-F08 t0.8,SGCC-F08 t0.8","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495821"
"4P041506B","MOUNTING PLATE","ダイキン工業株式会社","通常","SGHC-F08,SGHC-ZN22","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495819"
"3PY65502G","ZH_D ターミナルカバー","ダイキン工業株式会社","通常","SPCC,t1.6C","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495817"
"3PH10926","パネル取付板２","ダイキン工業株式会社","通常","SPCC","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495815"
"3PH10925","パネル取付板1","ダイキン工業株式会社","通常","SPCC","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495813"
"3PB19688","前板","ダイキン工業株式会社","通常","SGCC-FD8,亜鉛鋼板","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495811"
"3PB19119","前板","ダイキン工業株式会社","通常","SGCC-FDP,0.8","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495808"
"3PA44672","PLATE FINNED COIL TUBE PLATE","ダイキン工業株式会社","通常","SGCC-F08 T1.6,SGCC-F08 T1.6","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495806"
"R 4-6211255","エアーガイド 中央レール","ダイキン工業株式会社","通常","SPCC","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495804"
"R4-763278B","吸込口","ダイキン工業株式会社","通常","SPCC,SGCC-Zn12","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495802"
"R4-74-9630A","下部ナックル前板止金","ダイキン工業株式会社","通常","SPHC","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495799"
"R4722640G","CLAMP(FOR THERMISTOR)","ダイキン工業株式会社","通常","SGCC-ZN22","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495796"
"4SG90003A","耐塩用管治金","ダイキン工業株式会社","通常","SGCC Z-712","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495793"
"4PY65503A","ターミナルカバー上蓋","ダイキン工業株式会社","通常","SPCC,t1.6","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495791"
"4PS22233J","配管取付板","ダイキン工業株式会社","通常","SGCC-Z22,SGCC-F08","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495789"
"4PH09397","結氷タンク底板","ダイキン工業株式会社","通常","鋼材SPCC, SGCC-F08","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495786"
"4PB20548","側板(右)Assy","ダイキン工業株式会社","通常","","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495784"
"4PA47550E","AIR OUTLET FLANGE","ダイキン工業株式会社","通常","SPCC","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495782"
"4 PA35773A","スイッチボックス蓋 (1)","ダイキン工業株式会社","通常","SGCC-F08 Δ","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495780"
"4PA3041","サービス蓋","ダイキン工業株式会社","通常","SPCC","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495779"
"4P637926","ベルマウス","ダイキン工業株式会社","通常","SGCC-F08,t1.2","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495777"
"3P458264","PLATE FINNED COIL MOUNTING PLATE","ダイキン工業株式会社","通常","SGHC-ZN20-1Z,3SK62002-1","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495747"
"3P450536","FRONT PLATE (SHEET METAL)","ダイキン工業株式会社","通常","SPCE (J1),SECC (J1)","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495744"
"3P449413","E.L. COMPO. BOX COVER","ダイキン工業株式会社","通常","AA","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495742"
"3P419416","MOUNTING PLATE ASSY (1)","ダイキン工業株式会社","通常","GKK002-Z,GKR001-Z,ASB040004","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495739"
"3P416344","ファン電動機台","ダイキン工業株式会社","通常","SS400,SS400","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495737"
"3P409138G","PLATE FINNED COIL LOWER FRAME","ダイキン工業株式会社","通常","SK362002-2,SGHC-F06, t1.6","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495735"
"3P054069E","右側板(鈑金)","ダイキン工業株式会社","通常","SGCC-F08","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495552"
"3P409042","PLATE FINNED COIL UPPER FRAME PLATE","ダイキン工業株式会社","通常","SS400-6 t1.6,SKSB2002-6,SGHC-T50 t1.6","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495733"
"3P396981","PARTITION PLATE (SHEET METAL) (LEFT)","ダイキン工業株式会社","通常","SPGC t1.0,SGCC-F t1.0","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495731"
"3P396980A","PARTITION PLATE (SHEET METAL)","ダイキン工業株式会社","通常","SGCC t1.0","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495729"
"3P382213","仕切板（鈑金）","ダイキン工業株式会社","通常","SGCC,F08,t0.8","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495727"
"3PA22479","吸込グリル取付板(上)","ダイキン工業株式会社","通常","","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495725"
"3PA04547","REAR PLATE (SHEET METAL)","ダイキン工業株式会社","通常","SPCC-1.0,SGCC-F08-1.0","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495723"
"3P716451","AIR FILTER RAIL (CENTER)","ダイキン工業株式会社","通常","SGCC-ZN61-T1,SGCC-F08-T1","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495721"
"3P685570","吹出口","ダイキン工業株式会社","通常","SECC-2B2z t1.2,SGCC-ZN21 t1.2","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495718"
"3P685568","AIR OUTLET","ダイキン工業株式会社","通常","3SGK82014-1,SGCC-ZN02-1 t1.2","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495716"
"3P663307","吹出ロフランジ","ダイキン工業株式会社","通常","SS400-1B,SGHC-Z t1.6,SGHC-F08. t1.6","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495713"
"3P653231","CORNER PLATE (REAR)","ダイキン工業株式会社","通常","SGHC-ZN22, t2.3,SGHC-F08, t2.3","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495711"
"3P631906","CORNER PLATE","ダイキン工業株式会社","通常","ＳＧＨＣ-F,鉄","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495708"
"3P626280","PLATE FINNED COIL MOUNTING PLATE","ダイキン工業株式会社","通常","SGHC-F08, t1.6,SGHC-NMZ, t1.6","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495706"
"3P623864","AIR OUTLET","ダイキン工業株式会社","通常","SGC-F02B-T1.2,SGAC0200-5","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495704"
"3P622633","HOLDING CASE COVER","ダイキン工業株式会社","通常","SGCC-F08 E.T,S35C","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495702"
"3P622631","収納箱 (ゲージボックス)","ダイキン工業株式会社","通常","SS400-Z12,SGCC-ZN022,SSXP2020-Z-3,SGCC-F06-T0.8","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495700"
"3P613632","STAND","ダイキン工業株式会社","通常","鋼","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495698"
"3P584376","PLATE FINED COIL FRAME PLATE ASSY","ダイキン工業株式会社","通常","亜鉛鋼板（SECC t1.2）,亜鉛鋼板（SECC t2.3）,ポリ塩化ビニル t0.2","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495696"
"3P576826E","PLATE FINNED COIL FRAME PLATE","ダイキン工業株式会社","通常","3SK9205,SGHC-F08, t=1.2","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495693"
"3P576826","取付図","ダイキン工業株式会社","通常","3SK2002-6,SGCC-F06-6/2.0,SGHK-F06-6.6,3SK2008-6,SGCC-F06-6/1.6","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495691"
"3P576826E","PLATE FINNED COIL FRAME PLATE (BACK)","ダイキン工業株式会社","通常","SS400-2B,SS400-2C-B","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495689"
"3P569921","PIPING FIXTURE","ダイキン工業株式会社","通常","SS400","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495687"
"3P559209","電装品箱","ダイキン工業株式会社","通常","EL. COMPO. BOX,PROJECTION WELD NUT","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495683"
"3P535930 [single, string]","MOUNTING PLATE [single, string]","ダイキン工業株式会社","通常","SECC-PB-F [multiple, string]","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495680"
"3P530514","FRAME PLATE","ダイキン工業株式会社","通常","SUS304,SUS430","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495676"
"3P524077","STAY (HE BACK)","ダイキン工業株式会社","通常","3SK82002-Z,SGHC-F08, t2.3","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495673"
"3P524076","STAY","ダイキン工業株式会社","通常","3SK82002-7,SGHC-F08. t2.3","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495670"
"3P506747","BLIND PLATE","ダイキン工業株式会社","通常","AC,AA,AB","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495665"
"3P502777","FIXTURE","ダイキン工業株式会社","通常","SSECC-FGQ, 51/2","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495662"
"3P502644-0","COVER","ダイキン工業株式会社","通常","SECC-F PHC 100 B","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495659"
"3P502640","散水用ボックスカバー","ダイキン工業株式会社","通常","SSGE-F08,t1","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495655"
"3P485467","PARTITION PLATE (LEFT UPPER)","ダイキン工業株式会社","通常","SGKC-F08-t","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495653"
"3P458335","MOUNTING PLATE","ダイキン工業株式会社","通常","SGHC-ZN02-1/2-3,SGHC-F06-1/2-3","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495650"
"3P458269C","熱交取付板（下）（2-2）","ダイキン工業株式会社","通常","SGHC-ZN02, t2.3,SGHC-F08, t2.3","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495648"
"3P372066A","EL. COMPO. BOX","ダイキン工業株式会社","通常","SPCC","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495613"
"3P340451","PLATE FINNED COIL FRAME PLATE","ダイキン工業株式会社","通常","SGHC-F08","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495610"
"3P340413","FRAME FINNED COIL LOWER FRAME PLATE","ダイキン工業株式会社","通常","SGHC-F08,SGHC-F08","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495608"
"3P340412","PLATE FINNED COIL UPPER FRAME PLATE","ダイキン工業株式会社","通常","SGHC-F08","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495607"
"3P334197","PLATE FINNED COIL TUBE PLATE","ダイキン工業株式会社","通常","SGCC-F08 t1.2","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495606"
"3P293890A","AIR FILTER HOLD PLATE","ダイキン工業株式会社","通常","SGCC-F08 t1.2","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495605"
"3P293889","AIR FILTER HOLD PLATE","ダイキン工業株式会社","通常","SGCC-F08 t1.2,SGCC-F08 t1.2","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495604"
"3P282290","支柱 (2)
SUPPORT","ダイキン工業株式会社","通常","SGHC-F08-3,4SK06001-12,TU40022-4,4P291332-1","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495603"
"3P280969","SUPPORT (1)","ダイキン工業株式会社","通常","SGHC-F08","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495602"
"3P254235C","AIR FILTER RAIL","ダイキン工業株式会社","通常","SGCC-ZN16,SGCC-F08","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495601"
"3P244379","左側板（鈑金）","ダイキン工業株式会社","通常","SGCC-F08-T=0.8","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495600"
"3P242986","FRONT PLATE(SHEET METAL)","ダイキン工業株式会社","通常","SGCC-F 0.8-B","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495599"
"3P239867","PLATE FINNED COIL COVER","ダイキン工業株式会社","通常","SGCC-ZN2E2,SGCC-F0-E,SGCC-F0-E,SGCC-F0-E,SGCC-F0-E","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495598"
"3P239863","PLATE FINNED COIL COVER","ダイキン工業株式会社","通常","SGCC-ZN12,SGCC-F08,SGCC-F08","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495597"
"3P233403B","PLATE FINNED COIL COVER","ダイキン工業株式会社","通常","SGCC-ZN82,SGCC-F08,SGCC-F08","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495596"
"3P233401","PLATE FINNED COIL COVER","ダイキン工業株式会社","通常","SGCC-ZNNi2,SGCC-F 08-F,SGCC-F 08-F","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495595"
"3P233399","熱交カバー（前板左）","ダイキン工業株式会社","通常","SGCC-ZN21,SGCC-F08,SGCC-F08","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495592"
"3P233395","PLATE FINNED COIL COVER","ダイキン工業株式会社","通常","SGHC-ZN22,SGCC-ZN22,SGCC-F08","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495590"
"3P233391C","PLATE FINNED COIL COVER","ダイキン工業株式会社","通常","SGCC-ZN22,SGCC-F08,SGCC-F08","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495588"
"3P203678A","ドレンパン ASSY","ダイキン工業株式会社","通常","SGCC-F08,SGHC-F08,SGP","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495586"
"3P201813D","右側板（鋼金）","ダイキン工業株式会社","通常","SGCC-F08","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495584"
"3P193541","PIPE FIXING PLATE","ダイキン工業株式会社","通常","SGCC-ZN22,SGCC-F08","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495582"
"3P188826","STOP VALVE MOUNTING PLATE","ダイキン工業株式会社","通常","SGHC-F22,SGHC-F08","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495578"
"3P161933H","PIPING FIXTURE","ダイキン工業株式会社","通常","SPCC,ZC,SGCC-ZN22,SGCC-F08","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495577"
"3P138216","PIPE FIXING PLATE ASSY","ダイキン工業株式会社","通常","E","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495576"
"3P137440B","SHIELD PLATE(3)","ダイキン工業株式会社","通常","SPCC,SGCC-F08","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495575"
"3P132187","PIPE FIXING PLATE ASSY","ダイキン工業株式会社","通常","","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495574"
"3P117409D","WATER TANK (SHEET METAL) ASSY","ダイキン工業株式会社","通常","SPCC,SGP","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495572"
"3P379402","PARTITION PLATE(SHEET METAL)","ダイキン工業株式会社","通常","SPCC t1.0,SPCC t1.6","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495571"
"3P016883D","SUCTION GRILLE","ダイキン工業株式会社","通常","SPCC","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495565"
"3P016224J","FAN MOTOR STAND","ダイキン工業株式会社","通常","SGHC-F,SGHC-ZN12,SPHC","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495564"
"3P016224H","FAN MOTOR STAND","ダイキン工業株式会社","通常","SGHC-F08,SPHC","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495562"
"3P016224G","FAN MOTOR STAND","ダイキン工業株式会社","通常","SGHC-F,SGHC-ZN12,SPHC","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495560"
"3P016224F","FAN MOTOR STAND","ダイキン工業株式会社","通常","SGHC-7N12,SPHC","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495559"
"3P097642B","カバー","ダイキン工業株式会社","通常","SGCC-F08,SPCC","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495557"
"3P089918B","スイッチボックス","ダイキン工業株式会社","通常","SGCC-Z08","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495556"
"3P025790E","配管取付板","ダイキン工業株式会社","通常","SPHC,SPHC","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495551"
"2P529925C","管板","ダイキン工業株式会社","通常","CRB-FXKF850AF","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495476"
"2P525300","管板","ダイキン工業株式会社","通常","SGCC-F08","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495475"
"2P520960C","管板","ダイキン工業株式会社","通常","SRCC-K18,SGHC-F08","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495473"
"2P550975","管板(前)","ダイキン工業株式会社","通常","A5052,A3103","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495478"
"2PB19115","ケーシング","ダイキン工業株式会社","通常","SM4902L-BU","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495485"
"2PB18694","ケーシング","ダイキン工業株式会社","通常","SS400,STPG38","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495487"
"3P016224E","ファンモータ軸台","ダイキン工業株式会社","通常","SGHC-ZN132,SPHC","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495490"
"3P016224C","ファン電動機台","ダイキン工業株式会社","通常","SGHC-Z12,HEXAGON NUT","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6495488"
"2P520960B","管板","ダイキン工業株式会社","通常","SRCC-K18,SGHC-F08","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6494656"
"2P520960A","管板","ダイキン工業株式会社","通常","SRCC-K18,SGHC-F08","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6494652"
"2P125945","側板（鉄板）","ダイキン工業株式会社","通常","SECC,SPHC","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6494658"
"2P520960","管板","ダイキン工業株式会社","通常","SRCC-K18,SGHC-F08","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6494649"
"2P502638","電装品箱","ダイキン工業株式会社","通常","SPCC,SGCC-F08","","","","","","1","","","","","","","","","2025-04-18","https://zume-n.com/drawings/6494638"
